Country_Region,Province_State,Last Update Date,Last Update Time,Confirmed,Deaths,Recovered
US,Colorado,3/25/2020,19:33,3,0,0
US,Alabama,3/25/2020,19:33,10,0,0
US,Texas,3/25/2020,19:33,1,0,0
US,Illinois,3/25/2020,19:33,4,0,0
US,Ohio,3/25/2020,19:33,1,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,Maryland,3/25/2020,19:33,8,0,0
US,Virginia,3/25/2020,19:33,1,0,0
US,South Dakota,3/25/2020,19:33,1,0,0
US,South Carolina,3/25/2020,19:33,52,1,0
US,Michigan,3/25/2020,19:33,4,0,0
US,Florida,3/25/2020,19:33,3,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Virginia,3/25/2020,19:33,6,0,0
US,Georgia,3/25/2020,19:33,1,0,0
US,Kansas,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,7,0,0
US,North Carolina,3/25/2020,19:33,6,0,0
US,Georgia,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,1,0,0
US,Kansas,3/25/2020,19:33,0,0,0
US,New York,3/25/2020,19:33,2,0,0
US,New Mexico,3/25/2020,19:33,4,0,0
US,Tennessee,3/25/2020,19:33,7,0,0
US,Michigan,3/25/2020,19:33,0,0,0
US,Washington,3/25/2020,19:33,10,1,0
US,New York,3/25/2020,19:33,3,0,0
US,New York,3/25/2020,19:33,3,0,0
US,Alabama,3/25/2020,19:33,1,0,0
US,Georgia,3/25/2020,19:33,31,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Kansas,3/25/2020,19:33,2,0,0
US,North Carolina,3/25/2020,19:33,4,0,0
US,Oklahoma,3/25/2020,19:33,0,0,0
US,South Carolina,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Virginia,3/25/2020,19:33,3,0,0
US,New Hampshire,3/25/2020,19:33,1,0,0
US,Pennsylvania,3/25/2020,19:33,54,0,0
US,South Carolina,3/25/2020,19:33,1,0,0
US,Tennessee,3/25/2020,19:33,1,0,0
US,South Carolina,3/25/2020,19:33,3,0,0
US,Virginia,3/25/2020,19:33,11,0,0
US,Colorado,3/25/2020,19:33,0,0,0
US,Kansas,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Mississippi,3/25/2020,19:33,6,0,0
US,Arkansas,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,Alabama,3/25/2020,19:33,1,0,0
US,Michigan,3/25/2020,19:33,1,0,0
US,Minnesota,3/25/2020,19:33,0,0,0
US,Wisconsin,3/25/2020,19:33,1,0,0
US,Minnesota,3/25/2020,19:33,2,0,0
US,Vermont,3/25/2020,19:33,55,4,0
US,Alabama,3/25/2020,19:33,0,0,0
US,Mississippi,3/25/2020,19:33,3,0,0
US,Oklahoma,3/25/2020,19:33,0,0,0
US,Montana,3/25/2020,19:33,0,0,0
US,North Carolina,3/25/2020,19:33,0,0,0
US,Illinois,3/25/2020,19:33,1,0,0
US,Kentucky,3/25/2020,19:33,2,0,0
US,Missouri,3/25/2020,19:33,1,0,0
US,Nevada,3/25/2020,19:33,0,0,0
US,New Mexico,3/25/2020,19:33,1,0,0
US,Oklahoma,3/25/2020,19:33,0,0,0
US,Florida,3/25/2020,19:33,9,0,0
US,Oregon,3/25/2020,19:33,21,2,0
US,Louisiana,3/25/2020,19:33,2,0,0
US,Mississippi,3/25/2020,19:33,0,0,0
US,Tennessee,3/25/2020,19:33,1,0,0
US,Washington,3/25/2020,19:33,4,0,0
US,Michigan,3/25/2020,19:33,1,0,0
US,South Carolina,3/25/2020,19:33,5,1,0
US,Pennsylvania,3/25/2020,19:33,0,0,0
US,Arkansas,3/25/2020,19:33,12,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,Illinois,3/25/2020,19:33,0,0,0
US,Indiana,3/25/2020,19:33,6,0,0
US,Kansas,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,2,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,Nevada,3/25/2020,19:33,249,6,0
US,Ohio,3/25/2020,19:33,2,0,0
US,South Dakota,3/25/2020,19:33,0,0,0
US,Washington,3/25/2020,19:33,16,4,0
US,Wisconsin,3/25/2020,19:33,1,0,0
US,Alabama,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,19,1,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Mississippi,3/25/2020,19:33,0,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Oregon,3/25/2020,19:33,1,0,0
US,Alabama,3/25/2020,19:33,1,0,0
US,Arkansas,3/25/2020,19:33,0,0,0
US,Florida,3/25/2020,19:33,13,2,0
US,Georgia,3/25/2020,19:33,0,0,0
US,Illinois,3/25/2020,19:33,0,0,0
US,Indiana,3/25/2020,19:33,0,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Kansas,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Minnesota,3/25/2020,19:33,3,0,0
US,Mississippi,3/25/2020,19:33,1,0,0
US,Missouri,3/25/2020,19:33,2,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,North Carolina,3/25/2020,19:33,0,0,0
US,South Dakota,3/25/2020,19:33,0,0,0
US,Tennessee,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,West Virginia,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,22,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Colorado,3/25/2020,19:33,3,0,0
US,Pennsylvania,3/25/2020,19:33,2,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,Minnesota,3/25/2020,19:33,0,0,0
US,Alabama,3/25/2020,19:33,1,0,0
